frame_index,seq,header_stamp,aligned_stamp
388,138712,56764.838158000,56764.849938000
389,138713,56764.855949000,56764.867729000
390,138714,56764.873461000,56764.885241000
391,138715,56764.887068000,56764.898848000
392,138716,56764.905016000,56764.916796000
393,138717,56764.921231000,56764.933011000
394,138718,56764.937998000,56764.949778000
395,138719,56764.953926000,56764.965706000
396,138720,56764.971840000,56764.983620000
397,138721,56764.987832000,56764.999612000
398,138722,56765.006926000,56765.018706000
399,138723,56765.020849000,56765.032629000
400,138724,56765.038050000,56765.049830000
401,138725,56765.054129000,56765.065909000
402,138726,56765.071840000,56765.083620000
403,138727,56765.088009000,56765.099789000
404,138728,56765.104618000,56765.116398000
405,138729,56765.120606000,56765.132386000
406,138730,56765.138229000,56765.150009000
407,138731,56765.154358000,56765.166138000
408,138732,56765.172064000,56765.183844000
409,138733,56765.188063000,56765.199843000
410,138734,56765.204594000,56765.216374000
411,138735,56765.220678000,56765.232458000
412,138736,56765.238205000,56765.249985000
413,138737,56765.254182000,56765.265962000
414,138738,56765.271545000,56765.283325000
415,138739,56765.287700000,56765.299480000
416,138740,56765.304701000,56765.316481000
417,138741,56765.320881000,56765.332661000
418,138742,56765.338048000,56765.349828000
419,138743,56765.354131000,56765.365911000
420,138744,56765.371908000,56765.383688000
421,138745,56765.387837000,56765.399617000
422,138746,56765.404639000,56765.416419000
423,138747,56765.420818000,56765.432598000
424,138748,56765.438171000,56765.449951000
425,138749,56765.454317000,56765.466097000
426,138750,56765.471864000,56765.483644000
427,138751,56765.487971000,56765.499751000
428,138752,56765.504702000,56765.516482000
429,138753,56765.520794000,56765.532574000
430,138754,56765.538059000,56765.549839000
431,138755,56765.554278000,56765.566058000
432,138756,56765.571570000,56765.583350000
433,138757,56765.587671000,56765.599451000
434,138758,56765.604655000,56765.616435000
435,138759,56765.620755000,56765.632535000
436,138760,56765.638212000,56765.649992000
437,138761,56765.654355000,56765.666135000
438,138762,56765.671857000,56765.683637000
439,138763,56765.687617000,56765.699397000
440,138764,56765.704600000,56765.716380000
441,138765,56765.720715000,56765.732495000
442,138766,56765.738016000,56765.749796000
443,138767,56765.754044000,56765.765824000
444,138768,56765.771817000,56765.783597000
445,138769,56765.787688000,56765.799468000
446,138770,56765.804386000,56765.816166000
447,138771,56765.820534000,56765.832314000
448,138772,56765.838137000,56765.849917000
449,138773,56765.854166000,56765.865946000
450,138774,56765.873067000,56765.884847000
451,138775,56765.887221000,56765.899001000
452,138776,56765.904617000,56765.916397000
453,138777,56765.920857000,56765.932637000
454,138778,56765.938028000,56765.949808000
455,138779,56765.954272000,56765.966052000
456,138780,56765.973279000,56765.985059000
457,138781,56765.988274000,56766.000054000
458,138782,56766.004614000,56766.016394000
459,138783,56766.020703000,56766.032483000
460,138784,56766.037874000,56766.049654000
461,138785,56766.053974000,56766.065754000
462,138786,56766.071815000,56766.083595000
